pcode_ts,pcode_st,name_st,name_ts,candidate_name,party_name,votes
MMR007008,MMR111,Bago,Shwegyin,U Tin Tun,National Unity Party (NUP),17745
MMR007014,MMR111,Bago,Htantabin,U Saw Min Ywei,Kayin People's Party,6342
MMR007014,MMR111,Bago,Htantabin,U Ant Gyee,Union Solidarity And Development Party,31879
MMR007014,MMR111,Bago,Htantabin,U Khin Zaw,National Democratic Force,6016
MMR007009,MMR111,Bago,Taungoo,U Aung Min,Union Solidarity And Development Party,85932
MMR007009,MMR111,Bago,Taungoo,U Nyein Aung,National Unity Party (NUP),35509
MMR007002,MMR111,Bago,Thanatpin,U Khin Zaw,National Democratic Force,6016
MMR007002,MMR111,Bago,Thanatpin,U Tin Oo,National Unity Party (NUP),17757
MMR007004,MMR111,Bago,Waw,U Nay Lin Aung,National Democratic Force,11380
MMR007004,MMR111,Bago,Waw,U Myint Shwe,Union Solidarity And Development Party,43562
MMR007004,MMR111,Bago,Waw,U Tun Hlaing (A) U Tun Tun,National Unity Party (NUP),17833
MMR007010,MMR111,Bago,Yedashe,U Soe Kyi,National Democratic Force,8554
MMR007010,MMR111,Bago,Yedashe,U Myo Thant,Union Solidarity And Development Party,54180
MMR007010,MMR111,Bago,Yedashe,U Aung Khin,National Unity Party (NUP),30352
MMR008014,MMR111,Bago,Gyobingauk,Daw Cho Cho Kyaw Nyein,Democratic Party (Myanmar),19189
MMR008014,MMR111,Bago,Gyobingauk,U Thant Zin,Union Solidarity And Development Party,27204
MMR008014,MMR111,Bago,Gyobingauk,U Myint Soe,National Unity Party (NUP),13285
MMR008008,MMR111,Bago,Letpadan,U Tin Oo,Union Of Myanmar Federation Of National Politics,4715
MMR008008,MMR111,Bago,Letpadan,Dr. Win Myint,Union Solidarity And Development Party,35915
MMR008008,MMR111,Bago,Letpadan,U Nyunt Tin,National Unity Party (NUP),19356
MMR008008,MMR111,Bago,Letpadan,U Kyaw Soe Myint,Independent Candidates,12704
MMR008009,MMR111,Bago,Minhla,U Khin Maung Ye,National Democratic Force,9507
MMR008009,MMR111,Bago,Minhla,U Khin Maung Toe,Union Solidarity And Development Party,31875
MMR008009,MMR111,Bago,Minhla,U Aye Cho,National Unity Party (NUP),12100
MMR008013,MMR111,Bago,Monyo,U Nan Oo,Union Solidarity And Development Party,24861
MMR008013,MMR111,Bago,Monyo,U Han Saw,National Unity Party (NUP),13856
MMR008013,MMR111,Bago,Monyo,U Aung Kyaw Myint,88 Generation Student Youths (Union Of Myanmar),8148
MMR008013,MMR111,Bago,Monyo,U Sein Hlaing,Independent Candidates,17936
